component,explained_variance_ratio,cumulative_explained_variance,information_lost,distance_to_90pct
57,0.0044117714,0.7214512,0.27854878,0.17854875
58,0.0042148884,0.7256661,0.2743339,0.17433387
59,0.0042079627,0.7298741,0.27012593,0.1701259
60,0.004072344,0.73394644,0.26605356,0.16605353
61,0.0040310714,0.7379775,0.2620225,0.16202247
62,0.0039428156,0.7419203,0.2580797,0.15807968
63,0.0038192165,0.7457395,0.25426048,0.15426046
64,0.0037626056,0.7495021,0.25049788,0.15049785
65,0.0036932614,0.7531954,0.2468046,0.14680457
66,0.0035656241,0.756761,0.24323899,0.14323896
67,0.003504289,0.7602653,0.23973471,0.13973469
68,0.0034780977,0.7637434,0.2362566,0.13625658
69,0.003388943,0.76713234,0.23286766,0.13286763
70,0.0033525748,0.7704849,0.22951508,0.12951505
71,0.0032903193,0.7737752,0.22622478,0.12622476
72,0.0032393981,0.7770146,0.22298539,0.12298536
73,0.0032062717,0.78022087,0.21977913,0.11977911
74,0.0031769096,0.7833978,0.2166022,0.11660218
75,0.0030993496,0.7864971,0.21350288,0.11350286
76,0.0030613132,0.7895584,0.21044159,0.110441566
77,0.0030566053,0.792615,0.207385,0.10738498
78,0.0029754206,0.7955904,0.2044096,0.104409575
79,0.0029636426,0.79855406,0.20144594,0.10144591
80,0.0028745253,0.8014286,0.19857138,0.09857136
81,0.002863741,0.8042924,0.19570762,0.095707595
82,0.002850456,0.80714285,0.19285715,0.09285712
83,0.002816692,0.80995953,0.19004047,0.090040445
84,0.002768306,0.8127278,0.18727219,0.08727217
85,0.0027535222,0.8154813,0.1845187,0.08451867
86,0.0026937113,0.818175,0.18182498,0.08182496
87,0.0026795922,0.8208546,0.1791454,0.07914537
88,0.0026154453,0.82347006,0.17652994,0.07652992
89,0.0025930847,0.82606316,0.17393684,0.07393682
90,0.0025754042,0.82863855,0.17136145,0.07136142
91,0.0025411309,0.8311797,0.16882032,0.0688203
92,0.0025262835,0.83370596,0.16629404,0.066294014
93,0.0025109479,0.8362169,0.16378307,0.06378305
94,0.0024694344,0.83868635,0.16131365,0.06131363
95,0.0024533274,0.8411397,0.15886033,0.058860302
96,0.002429316,0.843569,0.15643102,0.056430995
97,0.0024165565,0.84598553,0.15401447,0.054014444
98,0.002402637,0.8483882,0.1516118,0.05161178
99,0.0023521287,0.8507403,0.14925969,0.049259663
100,0.0023362976,0.85307664,0.14692336,0.04692334
101,0.0023251406,0.85540175,0.14459825,0.04459822
102,0.0023144423,0.8577162,0.1422838,0.042283773
103,0.0022997928,0.860016,0.13998401,0.039983988
104,0.0022878067,0.8623038,0.1376962,0.037696183
105,0.0022428522,0.86454666,0.13545334,0.03545332
106,0.0022418136,0.86678845,0.13321155,0.03321153
107,0.0022012366,0.8689897,0.1310103,0.03101027
108,0.002190252,0.87117994,0.12882006,0.028820038
109,0.0021689797,0.8733489,0.12665111,0.026651084
110,0.0021388868,0.8754878,0.124512196,0.024512172
111,0.0021112405,0.87759906,0.12240094,0.022400916
112,0.0020995298,0.8796986,0.120301425,0.020301402
113,0.002084134,0.8817827,0.11821729,0.018217266
114,0.0020548082,0.8838375,0.11616248,0.016162455
115,0.0020503164,0.88588786,0.11411214,0.014112115
116,0.0020268783,0.8879147,0.11208528,0.012085259
117,0.00200016,0.8899149,0.11008513,0.010085106
118,0.0019699372,0.8918848,0.108115196,0.008115172
119,0.001955426,0.89384025,0.10615975,0.006159723
120,0.0019380632,0.8957783,0.1042217,0.004221678
121,0.0019143145,0.8976926,0.10230738,0.0023073554
122,0.0018933996,0.899586,0.10041398,0.00041395426
123,0.001877297,0.9014633,0.09853667,0.0014633536
124,0.0018624827,0.9033258,0.096674204,0.00332582
125,0.0018321696,0.905158,0.09484202,0.005158007
126,0.0018113545,0.9069693,0.09303069,0.0069693327
127,0.0018026133,0.90877193,0.09122807,0.008771956
128,0.0017690255,0.91054094,0.08945906,0.010540962
129,0.0017491172,0.91229004,0.08770996,0.0122900605
130,0.0017248269,0.9140149,0.085985124,0.0140149
131,0.0016940547,0.91570896,0.08429104,0.015708983
132,0.0016777535,0.9173867,0.08261329,0.017386734
133,0.001673743,0.91906047,0.08093953,0.019060493
134,0.0016463338,0.9207068,0.07929319,0.020706832
135,0.0016209951,0.9223278,0.07767218,0.02232784
136,0.0016068874,0.9239347,0.0760653,0.023934722
137,0.0015768781,0.9255116,0.0744884,0.025511622
138,0.0015410102,0.9270526,0.07294738,0.02705264
139,0.0015297377,0.9285824,0.07141763,0.028582394
140,0.001517832,0.9301002,0.0698998,0.030100226
